PlotID,PICO_LiveBA_m2_ha,SF_LiveBA_m2_ha,POTR_LiveBA_m2_ha,PICO_DeadBA_m2_ha,SF_DeadBA_m2_ha,POTR_DeadBA_m2_ha,PICO_LiveOvr_stems_ha,SF_LiveOvr_stems_ha,POTR_LiveOvr_stems_ha,PICO_DeadOvr_stems_ha,SF_DeadOvr_stems_ha,POTR_DeadOvr_stems_ha,PICO_LiveUnd_stems_ha,SF_LiveUnd_stems_ha,POTR_LiveUnd_stems_ha,PICO_DeadUnd_stems_ha,SF_DeadUnd_stems_ha,POTR_DeadUnd_stems_ha,PICO_LiveQMD_cm,SF_LiveQMD_cm,POTR_LiveQMD_cm,PICO_DeadQMD_cm,SF_DeadQMD_cm,POTR_DeadQMD_cm
FRA1_H_N,8.223953606,2.097224978,0,24.490343443,0,0.068197826,187,68,0,544,0,0,1061,118,0,84,0,67,9.15983360972691,11.9817592815757,NA,22.2829234046358,NA,3.59999929264628
FRA1_H_Y,14.998647516,5.4635902,4.7369e-4,18.597009704,0,0,459,102,0,340,0,0,996,152,67,788,0,0,11.4564246829903,16.5491903739903,0.300029707382357,14.4884377962081,NA,NA
FRA2_L_Y,2.155141,18.371748459,0,15.051314,2.649573828,0,68,306,0,204,51,0,170,1148,0,135,202,0,10.7375183137444,12.6837476682639,NA,23.7761707208171,11.5473493112138,NA
FRA3_C_N,5.723763088,3.956127256,0,13.572484891,1.35796,0,153,153,0,187,68,0,710,387,0,252,17,0,9.18945972013682,9.65812447041531,NA,19.840470864496,14.2622674915495,NA
FRA4_M_N,13.492310523,4.764713638,0,13.346833189,0,0,323,119,0,272,0,0,2420,821,0,302,0,0,7.91379528419531,8.03357822614988,NA,17.2063091472456,NA,NA
FRA4_M_Y,21.129713805,7.379270447,0,17.097820684,0,0,816,119,0,306,0,0,2340,439,0,943,0,0,9.23278795882209,12.9760994613744,NA,13.2021210771687,NA,NA
FRA5_X_N,9.738208459,0.1908192,0,26.463411222,0,0,323,0,0,646,0,0,1713,101,0,286,0,0,7.80378324656169,4.90461475150908,NA,19.0138256860289,NA,NA
FRA5_X_Y,19.144872424,0.880124,0,14.581652403,0,0,578,17,0,391,0,0,2225,85,0,656,0,0,9.32543804202199,10.4815714124889,NA,13.3163309880487,NA,NA
FRB1_H_N,17.762430165,5.886378435,0,15.235123444,0,0,646,136,0,374,0,0,1940,438,0,1075,0,0,9.35171973860562,11.4267491915173,NA,11.5702661081184,NA,NA
FRB1_H_Y,23.197107089,0.927209566,0,12.347705903,2.299522,0,782,34,0,340,17,0,1942,118,0,894,0,0,10.4128092715486,8.81295818156361,NA,11.2873010925235,41.5000743999014,NA
FRB2_C_N,8.125269331,3.138475788,0,21.401674,0,0,204,68,0,289,0,0,1095,604,0,17,0,0,8.92419104302291,7.71133031092869,NA,29.8412980601521,NA,NA
FRB3_X_N,12.022647016,14.704977656,4.059753,9.581696622,0.617185,2.367856021,442,459,68,221,17,34,827,877,544,840,0,641,10.983070939358,11.8381409600627,9.19027794606423,10.7230434949583,21.4999659482974,6.68313618126173
FRB3_X_Y,15.30794988,8.972087705,3.8932890000000002,8.997126231,0.709359,1.172001831,578,272,85,289,17,17,577,305,391,573,17,388,12.9903865748149,14.0706253696542,10.2049151138375,11.5279696781506,16.298518682075,6.07003485709131
