PlotID,LiveBA_m2_ha,DeadBA_m2_ha,LiveOvr_stems_ha,DeadOvr_fine_stems_ha,DeadOvr_stems_ha,LiveUnd_stems_ha,DeadUnd_fine_stems_ha,DeadUnd_stems_ha,LiveQMD_cm,DeadQMD_cm
FRA1_H_N,10.321178584,24.558541269,255,459,85,4127,268,17,9.57292424501057,21.2111117833864
FRA1_H_Y,20.462711406,18.597009704,561,323,17,3024,989,0,12.111966485553,14.4884377962081
FRA2_L_Y,20.526889459,17.700887828,374,187,68,9157,588,17,12.4284206523897,19.511525378314
FRA3_C_N,9.679890344,14.930444891,306,204,51,16909,520,17,9.37261838751902,19.0469430147672
FRA4_M_N,18.257024161,13.346833189,442,204,68,19120,771,0,7.94453874220378,17.2063091472456
FRA4_M_Y,28.508984252,17.097820684,935,238,68,15777,1462,17,9.8860880433404,13.2021210771687
FRA5_X_N,9.929027659,26.463411222,323,561,85,5030,286,0,7.6914044767543,19.0138256860289
FRA5_X_Y,20.024996424,14.581652403,595,391,0,2511,722,68,9.3684492125303,13.3163309880487
FRB1_H_N,23.6488086,15.235123444,782,306,68,8676,1410,0,9.76147942912305,11.5702661081184
FRB1_H_Y,24.124316655,14.647227903,816,340,17,6750,944,17,10.3344560075559,12.2096612872252
FRB2_C_N,11.263745119,21.401674,272,238,51,4848,151,0,8.53007101205297,29.8412980601521
FRB3_X_N,30.787377672,12.566737643,969,255,17,39366,1597,85,11.0386349332854,9.55377189004164
FRB3_X_Y,28.173326585,10.878487062,935,238,85,16482,1243,204,12.7460049211285,10.318109988475
FRB4_M_Y,32.429693712,14.441667552,578,187,34,27249,1041,51,12.8489940831678,14.7601917639882
FRB5_L_Y,27.470649246,12.625634806,527,136,17,15310,1142,17,10.726356365736,15.8239043515233
FRC2_L_Y,31.801783195,15.747942727,799,187,51,8313,369,0,8.74640011461537,24.3201705259946
FRC3_C_N,13.376077523,36.765713,323,391,85,10308,17,0,9.58438112466692,30.8143199951532
FRC4_M_N,20.183293861,13.595596235,527,289,0,10279,1911,51,10.0093733445413,13.3040617909293
FRC5_H_N,20.626927806,15.654246,612,272,85,16009,218,17,9.65215500951398,22.5778326665138
FRC5_H_Y,39.776164775,8.404013169,1054,85,17,12009,956,0,8.78378543129912,13.4784597564938
FRD1_L_Y,12.991665371,14.67740662,289,272,0,6461,84,0,8.19677360720527,22.9115365318501
FRD2_C_N,7.241126826,28.160347,272,561,102,2197,34,17,13.2392918662599,22.4091016515991
FRD3_M_N,8.58716285,25.391345727,238,493,0,17261,84,0,8.39061266407846,23.670612964026
FRD3_M_Y,17.851912392,16.41210724,442,204,0,11938,822,0,9.3535689414598,17.3899246763884
FRD4_X_N,40.638389311,3.720339816,969,34,34,8169,3703,34,9.92568380461652,4.16318816968948
FRD4_X_Y,21.872146955,13.196042277,476,289,0,5743,1375,0,8.95592402829591,11.8574812891446
FRD5_H_N,16.602197596,22.141225,493,408,34,7104,134,34,7.05498687698246,24.3361513584531
FRD5_H_Y,14.126511664,11.689137921,357,323,0,7991,520,0,6.65593390940047,15.2257354286641
